DATE  USER  BOARD  TIME  WPM  ERRS
02281910 Zac tuf 10.267 3.537 0.5 
02281910 Zac B 13.042 4.228 0.5 
03050944 Zac tuf 9.62 9.346 0.0 
03050944 Zac B 13.442 2.089 1.0 
03050945 user2 tuf 9.221 4.271 1.0 
03050945 user2 B 9.416 9.55 0.0 
03111317 Zac tuf 13.925 5.933 0.6 
03111320 user2 tuf 10.506 6.737 0.6 
03111340 Zac tuf 10.128 4.08 1.4 
03111342 Zac tuf 10.419 8.32 1.25 
03111346 Zac tuf 9.263 9.068 1.0 
03111346 Zac tuf 9.53 9.434 1.5 
03111346 Zac tuf 11.265 8.732 1.333 
03111346 Zac tuf 12.208 8.345 1.75 
03111346 Zac tuf 11.435 8.402 1.6 
03190914 Zac tuf 17.079 6.324 3.0 
03221104 Zac TUF 11.67 8.226 1.0 
03221104 Zac TUF 9.481 8.227 0.5 
03221104 Zac TUF 12.044 8.746 0.333 
03221104 Zac TUF 11.73 7.95 0.25 
03221104 Zac TUF 11.784 7.96 0.2 
03221215 Zac Red 11.901 8.067 0.0 
03221215 Zac Red 9.262 9.469 0.0 
03221215 Zac Red 12.346 9.337 0.0 
03221215 Zac Red 11.336 8.809 0.0 
03221215 Zac Red 11.89 8.578 0.0 
04121145 Zac Red 16.071 6.72 1.0 
04121145 Zac Red 11.273 7.067 0.5 
04121145 Zac Red 11.696 7.901 1.0 
04121145 Zac Red 11.528 7.83 0.75 
04121145 Zac Red 12.029 7.803 0.8 
04121148 Zac Red 11.482 9.406 0.0 
04121148 Zac Red 13.858 7.66 2.0 
04121148 Zac Red 13.858 7.66 2.0 
04121148 Zac Red 13.109 7.518 1.667 
04121148 Zac Red 12.694 7.473 1.5 
04121155 Zac tuf 6.383 1.88 45.0 
04121155 Zac tuf 7.877 1.58 34.5 
04121155 Zac tuf 6.577 2.059 36.333 
04121155 Zac tuf 6.384 2.061 34.75 
04121155 Zac tuf 7.086 1.892 33.6 
04121156 Zac Red 2.337 5.135 31.0 
04121156 Zac Red 3.098 4.123 34.0 
04121156 Zac Red 4.166 3.383 31.667 
04121156 Zac Red 3.991 3.403 31.0 
04121156 Zac Red 3.63 3.819 29.2 
04121156 Zac HP 2.496 4.809 45.0 
04121156 Zac HP 2.431 4.939 39.5 
04121156 Zac HP 4.622 3.737 41.0 
04121156 Zac HP 4.147 3.905 36.75 
04121156 Zac HP 3.918 3.924 37.4 
04121203 Zac tuf 3.86 6.217 24.0 
04121203 Zac tuf 2.95 6.05 23.0 
04121203 Zac tuf 2.405 7.079 30.333 
